FREQ,Frequenza,DATA_TYPE,Indicatore,MEASURE,Misura,SEX,Sesso,AGE,Età,EDU_LEV_HIGHEST,Titolo di studio,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,4,Licenza di scuola media,2023,653,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,4,Licenza di scuola media,2024,634,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,7,Diploma,2023,786,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,7,Diploma,2024,815,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,11,Laurea e post-laurea,2023,247,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,11,Laurea e post-laurea,2024,258,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2023,1776,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y45-64,45-64 anni,99,Totale,2024,1817,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2023,208,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2024,192,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,4,Licenza di scuola media,2023,220,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,4,Licenza di scuola media,2024,241,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,7,Diploma,2023,180,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,7,Diploma,2024,211,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,11,Laurea e post-laurea,2023,78,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,11,Laurea e post-laurea,2024,76,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2023,686,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE65,65 anni e più,99,Totale,2024,720,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2023,311,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2024,321,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,4,Licenza di scuola media,2023,1284,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,4,Licenza di scuola media,2024,1326,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,7,Diploma,2023,1870,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,7,Diploma,2024,2027,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,11,Laurea e post-laurea,2023,716,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,11,Laurea e post-laurea,2024,734,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,99,Totale,2023,4180,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,2,Femmine,Y_GE14,14 anni e più,99,Totale,2024,4409,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,69,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,74,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,4,Licenza di scuola media,2023,938,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,4,Licenza di scuola media,2024,916,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,7,Diploma,2023,1675,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,7,Diploma,2024,1779,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,11,Laurea e post-laurea,2023,738,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,11,Laurea e post-laurea,2024,721,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2023,3419,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y25-44,25-44 anni,99,Totale,2024,3490,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,220,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,215,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,4,Licenza di scuola media,2023,1621,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,4,Licenza di scuola media,2024,1645,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,7,Diploma,2023,1661,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,7,Diploma,2024,1711,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,11,Laurea e post-laurea,2023,509,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,11,Laurea e post-laurea,2024,516,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2023,4010,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y45-64,45-64 anni,99,Totale,2024,4087,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2023,390,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2024,402,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,4,Licenza di scuola media,2023,493,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,4,Licenza di scuola media,2024,512,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,7,Diploma,2023,410,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,7,Diploma,2024,468,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,11,Laurea e post-laurea,2023,180,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,11,Laurea e post-laurea,2024,179,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,99,Totale,2023,1473,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE65,65 anni e più,99,Totale,2024,1561,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2023,687,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2024,693,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,4,Licenza di scuola media,2023,3398,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,4,Licenza di scuola media,2024,3465,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,7,Diploma,2023,4391,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,7,Diploma,2024,4629,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,11,Laurea e post-laurea,2023,1495,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,11,Laurea e post-laurea,2024,1491,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,99,Totale,2023,9971,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,THV,Valori in migliaia,9,Totale,Y_GE14,14 anni e più,99,Totale,2024,10279,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,35.3,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,28.4,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,4,Licenza di scuola media,2023,43.4,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,4,Licenza di scuola media,2024,41.4,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,7,Diploma,2023,31.5,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,7,Diploma,2024,32.7,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,11,Laurea e post-laurea,2023,23.3,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,11,Laurea e post-laurea,2024,21.2,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,99,Totale,2023,32.3,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y25-44,25-44 anni,99,Totale,2024,31.7,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2023,31.1,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,3,'Licenza di scuola elementare, nessun titolo di studio',2024,25.5,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,4,Licenza di scuola media,2023,30,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,4,Licenza di scuola media,2024,31.1,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,7,Diploma,2023,23.1,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,7,Diploma,2024,23.2,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,11,Laurea e post-laurea,2023,17.5,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,11,Laurea e post-laurea,2024,18.1,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,99,Totale,2023,25,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y45-64,45-64 anni,99,Totale,2024,25.4,,
A,Annuale,14_FUMO_SI,Persone di 14 anni e più per abitudine al fumo: fumatori,HSC,Per 100 persone con le stesse caratteristiche,1,Maschi,Y_GE65,65 anni e più,3,'Licenza di scuola elementare, nessun titolo di studio',2023,9.9,,
