STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CY,Cyprus,2009,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CY,Cyprus,2012,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CY,Cyprus,2014,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CY,Cyprus,2017,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CY,Cyprus,2020,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CY,Cyprus,2023,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CZ,Czechia,2006,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CZ,Czechia,2009,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CZ,Czechia,2012,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CZ,Czechia,2014,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CZ,Czechia,2017,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CZ,Czechia,2020,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,CZ,Czechia,2023,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DE,Germany,2006,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DE,Germany,2009,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DE,Germany,2012,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DE,Germany,2014,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DE,Germany,2017,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DE,Germany,2020,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DE,Germany,2023,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DK,Denmark,2006,,29,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DK,Denmark,2009,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DK,Denmark,2012,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DK,Denmark,2014,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DK,Denmark,2017,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DK,Denmark,2020,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,DK,Denmark,2023,,12,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EE,Estonia,2006,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EE,Estonia,2009,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EE,Estonia,2012,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EE,Estonia,2014,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EE,Estonia,2017,,15,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EE,Estonia,2020,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EE,Estonia,2023,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EL,Greece,2006,,37,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EL,Greece,2009,,39,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EL,Greece,2012,,34,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EL,Greece,2014,,33,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EL,Greece,2017,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EL,Greece,2020,,38,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EL,Greece,2023,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,ES,Spain,2006,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,ES,Spain,2009,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,ES,Spain,2012,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,ES,Spain,2014,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,ES,Spain,2017,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,ES,Spain,2020,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,ES,Spain,2023,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2006,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2009,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2012,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2014,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2017,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2020,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2006,,26,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2009,,25,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2012,,23,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2014,,22,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2017,,23,,e,estimated,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2020,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,EU27_2020,European Union - 27 countries (from 2020),2023,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FI,Finland,2006,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FI,Finland,2009,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FI,Finland,2012,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FI,Finland,2014,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FI,Finland,2017,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FI,Finland,2020,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FI,Finland,2023,,15,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FR,France,2006,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FR,France,2009,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FR,France,2012,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FR,France,2014,,29,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FR,France,2017,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FR,France,2020,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,FR,France,2023,,27,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HR,Croatia,2006,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HR,Croatia,2009,,26,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HR,Croatia,2014,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HR,Croatia,2017,,31,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HR,Croatia,2020,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HR,Croatia,2023,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HU,Hungary,2006,,29,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HU,Hungary,2009,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HU,Hungary,2012,,28,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HU,Hungary,2014,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HU,Hungary,2017,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HU,Hungary,2020,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,HU,Hungary,2023,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IE,Ireland,2006,,29,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IE,Ireland,2009,,32,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IE,Ireland,2012,,30,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IE,Ireland,2014,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IE,Ireland,2017,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IE,Ireland,2020,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IE,Ireland,2023,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IT,Italy,2006,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IT,Italy,2009,,25,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IT,Italy,2012,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IT,Italy,2014,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IT,Italy,2017,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IT,Italy,2020,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,IT,Italy,2023,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LT,Lithuania,2006,,20,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LT,Lithuania,2009,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LT,Lithuania,2012,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LT,Lithuania,2014,,16,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LT,Lithuania,2017,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LT,Lithuania,2020,,14,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LT,Lithuania,2023,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LU,Luxembourg,2006,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LU,Luxembourg,2009,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LU,Luxembourg,2012,,24,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LU,Luxembourg,2014,,19,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LU,Luxembourg,2017,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LU,Luxembourg,2020,,17,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LU,Luxembourg,2023,,14,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LV,Latvia,2006,,21,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LV,Latvia,2009,,23,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LV,Latvia,2012,,22,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LV,Latvia,2014,,18,,,,,
dataflow,ESTAT:SDG_03_30(1.0),Smoking prevalence by sex,A,Annual,Y_GE15,15 years or over,F,Females,PC_POP,Percentage of total population,LV,Latvia,2017,,21,,,,,
